,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36
child_id,"['JM17M039', 'VE15F088']","['AC17F058', 'AM18F020', 'AM18M078', 'DY10M048', 'ED06M117', 'ES11M099', 'FM08F039', 'GR14M119', 'JM08M048', 'JM14F039', 'JR15M119', 'SB12M048']","['AA04M058', 'AR15F039', 'CC05M088', 'CG10M058', 'EG12M048', 'EJ19F108', 'EP14F109', 'EU10F048', 'GH11M098', 'JC18M088', 'JE09M048', 'KW16F048', 'MC07M058', 'MF04F117', 'MG00M068', 'MG04F057', 'RH19M048']","['EB19M039', 'FA20M039', 'NA00M058', 'VO19M039']","['CS21M078', 'HE03F038', 'LH19M049', 'NW07M108', 'SL03F038', 'SS11F058', 'ZZ21M049']","['AF01F058', 'AL13F039', 'JH11M058', 'KB09F049', 'KH06F098', 'MG21M039', 'SS07F088', 'TS20M118']","['AR15F039', 'CS23F039', 'CW02F097', 'JM08M048', 'JR23M049', 'MD06M048', 'MW02M048', 'TR12M048', 'VP23F039']","['AB03F057', 'AJ14M058', 'AL06F098', 'AM18M078', 'AM22M088', 'AP15F088', 'BC21M088', 'BN14M098', 'CC05M088', 'CK19F088', 'CT21M048', 'DG12M048', 'EA22F108', 'EG12M048', 'EO04F018', 'ER17M078', 'ET09F058', 'FA20M039', 'GM18F049', 'HS13M087', 'JM14F039', 'JM14M58B', 'JM17M039', 'JO21M068', 'JS20M058', 'KV23F108', 'MA05M018', 'MK03M057', 'MS11F038', 'OO18F088', 'PI20F058', 'RL17M058', 'SP24F039', 'VA24M030', 'VE15F088', 'VL18F058']","['AW04M057', 'CG10M058', 'CS04F047', 'DR13M038', 'DY10M048', 'GG17M078', 'GH11M098', 'GS24F058', 'JE25F058', 'JO25M059', 'JV04M057', 'KH24F010', 'LG21M058', 'LK24F068', 'LP21M088', 'MC07M058', 'MF04F117', 'MM16M088', 'MV11M058', 'PR20F078', 'RA25M039', 'SL14F038', 'SM17F039', 'VG11F088']","['AA04M058', 'CA26M039', 'CD26M020', 'CS07F078', 'DY10M048', 'EG03F107', 'JE18M088', 'PA26M109', 'RA26F039']","['AL16F039', 'CF27F089', 'CS21M078', 'EU10F048', 'IC14F039', 'IR22M018', 'JM04F048', 'MD27F020', 'VG27F049']","['AG06M058', 'AP28F030', 'CW02F097', 'IC28M039', 'JM17M039', 'KG23F019', 'KW16F048', 'SM25F069', 'TS20M118']","['AG21M059', 'AM18M078', 'AS28F039', 'CE24M068', 'CS23F039', 'DG29F098', 'EC29F030', 'EM25F039', 'IA25F058', 'JO21M068', 'JS25M019', 'OO18F088', 'RH19M048', 'VE15F088']","['AA30F039', 'AO31F030', 'AS24M088', 'BN14M098', 'CF27F089', 'CR29M098', 'CS04F047', 'CT21M048', 'DS29M039', 'DV27M058', 'EB19M039', 'ED06M117', 'EV23F088', 'GS24F058', 'JM30F048', 'KV23F108', 'MB30M078', 'MK03M057', 'ML27F028', 'PI20F058', 'RA25M039', 'RI30M058', 'SM17F039', 'VP23F039', 'YT29F049']","['AJ14M058', 'AW04M057', 'BC21M088', 'CK19F088', 'CP31F088', 'CW02F097', 'DB31M030', 'EG31M049', 'EJ19F108', 'GM24F098', 'IR30M058', 'JV04M057', 'KG23F019', 'MA05M018', 'SS11F058', 'TM30M058', 'VG11F088']","['AL28F118', 'AP15F088', 'CV32M038', 'DY10M048', 'ER31F058', 'ET32F098', 'GB21M058', 'JH11M058', 'MS31F058', 'MV11M058', 'OF32F058', 'RA25M039', 'SW31F048', 'ZZ21M049']","['EC30M058', 'JS32F059', 'PR20F078']",['MK03M057'],['NR19F069'],['JV04M057']
a,0.0,0.25,0.18,0.0,0.0,0.12,0.0,0.14,0.33,0.0,0.22,0.56,0.0,0.36,0.24,0.29,0.0,0.0,0.0,0.0
about,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.06,0.14,0.0,0.0,0.0,1.0
above,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.22,0.0,0.08,0.12,0.14,0.0,0.0,0.0,0.0
airplane,0.0,0.42,0.18,0.25,0.43,0.38,0.56,0.31,0.62,0.44,0.33,0.56,0.43,0.72,0.82,0.71,0.67,1.0,1.0,1.0
all,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.03,0.17,0.0,0.22,0.33,0.0,0.24,0.24,0.14,0.0,0.0,0.0,0.0
allgone,0.0,0.25,0.18,0.0,0.14,0.12,0.33,0.19,0.33,0.33,0.11,0.44,0.21,0.36,0.35,0.64,0.0,1.0,1.0,0.0
alligatr,0.0,0.17,0.06,0.0,0.0,0.0,0.11,0.11,0.29,0.11,0.11,0.22,0.07,0.32,0.35,0.43,0.33,1.0,0.0,0.0
alot,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.11,0.22,0.0,0.24,0.35,0.43,0.0,0.0,0.0,0.0
am,0.0,0.0,0.18,0.0,0.0,0.0,0.11,0.06,0.17,0.0,0.11,0.11,0.07,0.2,0.24,0.29,0.0,0.0,0.0,1.0
an,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.11,0.0,0.08,0.0,0.14,0.0,0.0,0.0,0.0
and,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.0,0.22,0.22,0.07,0.28,0.24,0.36,0.0,0.0,0.0,0.0
animal,0.0,0.17,0.12,0.0,0.0,0.0,0.22,0.25,0.33,0.22,0.33,0.33,0.36,0.6,0.53,0.43,0.67,1.0,1.0,1.0
ankle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.22,0.11,0.11,0.0,0.08,0.24,0.14,0.0,0.0,0.0,0.0
another,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.11,0.22,0.0,0.08,0.24,0.21,0.0,1.0,1.0,0.0
ant,0.0,0.08,0.12,0.0,0.0,0.12,0.33,0.11,0.29,0.22,0.0,0.44,0.21,0.48,0.29,0.43,0.33,1.0,1.0,0.0
any,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.33,0.22,0.0,0.04,0.18,0.21,0.0,0.0,1.0,0.0
apple,0.0,0.33,0.41,0.25,0.14,0.38,0.44,0.56,0.67,0.67,0.67,0.89,0.79,0.88,0.88,0.79,0.67,1.0,1.0,1.0
applesac,0.0,0.0,0.12,0.0,0.0,0.12,0.11,0.11,0.17,0.22,0.22,0.33,0.14,0.28,0.18,0.14,0.0,1.0,1.0,0.0
are,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.11,0.22,0.07,0.24,0.12,0.29,0.0,0.0,0.0,0.0
arm,0.0,0.17,0.06,0.25,0.0,0.12,0.44,0.14,0.38,0.33,0.22,0.44,0.29,0.52,0.35,0.29,0.33,1.0,1.0,0.0
around,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.11,0.33,0.0,0.12,0.18,0.29,0.33,0.0,0.0,0.0
asleep,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.17,0.29,0.33,0.0,0.22,0.07,0.36,0.35,0.43,0.0,1.0,1.0,0.0
at,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.22,0.0,0.16,0.24,0.21,0.0,0.0,0.0,0.0
ate,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.08,0.25,0.11,0.0,0.22,0.07,0.2,0.12,0.29,0.0,0.0,0.0,0.0
ated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0
aunt,0.0,0.08,0.12,0.0,0.0,0.0,0.22,0.17,0.12,0.11,0.0,0.33,0.07,0.12,0.12,0.07,0.33,1.0,0.0,0.0
awake,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.08,0.12,0.11,0.11,0.11,0.0,0.24,0.24,0.43,0.33,0.0,0.0,0.0
away,0.0,0.17,0.0,0.0,0.0,0.0,0.11,0.03,0.21,0.11,0.33,0.33,0.07,0.2,0.29,0.5,0.33,0.0,0.0,0.0
baabaa,0.5,0.42,0.53,1.0,0.43,0.25,0.22,0.28,0.67,0.44,0.56,0.22,0.36,0.52,0.65,0.29,1.0,0.0,1.0,0.0
baby,0.5,0.83,0.65,0.75,0.71,0.62,0.56,0.83,0.83,0.78,0.89,0.89,0.79,0.84,0.94,0.86,1.0,1.0,1.0,1.0
babysttr,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.11,0.07,0.12,0.12,0.07,0.0,0.0,0.0,0.0
back,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.03,0.25,0.0,0.11,0.44,0.07,0.2,0.18,0.43,0.0,0.0,0.0,0.0
backyard,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.11,0.17,0.0,0.11,0.33,0.21,0.28,0.18,0.14,0.0,1.0,0.0,0.0
bad,0.5,0.08,0.12,0.0,0.0,0.0,0.11,0.14,0.25,0.0,0.33,0.22,0.29,0.48,0.47,0.43,0.33,1.0,0.0,0.0
ball,0.5,1.0,0.65,0.5,0.57,0.75,0.78,0.75,0.88,0.78,0.89,0.78,0.71,0.88,0.88,0.93,1.0,1.0,1.0,1.0
balloon,0.5,0.58,0.47,0.25,0.14,0.62,0.56,0.75,0.71,0.89,0.89,0.78,0.79,0.84,0.82,0.93,1.0,1.0,1.0,1.0
banana,0.5,0.58,0.59,0.75,0.14,0.75,0.56,0.75,0.79,0.56,0.78,0.89,0.86,0.88,0.94,0.93,0.67,1.0,1.0,1.0
basement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
basket,0.0,0.08,0.0,0.25,0.0,0.0,0.22,0.11,0.21,0.0,0.11,0.22,0.14,0.28,0.29,0.14,0.0,1.0,0.0,0.0
bat,0.0,0.08,0.18,0.0,0.0,0.0,0.11,0.14,0.12,0.0,0.11,0.22,0.14,0.44,0.41,0.57,0.33,1.0,0.0,0.0
bath,0.0,0.33,0.24,0.0,0.0,0.12,0.67,0.36,0.58,0.33,0.33,0.44,0.14,0.6,0.65,0.36,0.33,1.0,1.0,0.0
bathroom,0.0,0.17,0.12,0.25,0.0,0.0,0.22,0.11,0.42,0.33,0.11,0.44,0.29,0.48,0.59,0.57,0.0,1.0,1.0,1.0
bathtub,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.14,0.25,0.22,0.22,0.44,0.14,0.32,0.41,0.21,0.0,1.0,0.0,0.0
be,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.22,0.0,0.16,0.18,0.14,0.0,0.0,0.0,0.0
beach,0.0,0.08,0.0,0.0,0.0,0.12,0.0,0.08,0.08,0.0,0.0,0.22,0.14,0.16,0.24,0.21,0.0,1.0,0.0,0.0
beads,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.06,0.04,0.0,0.0,0.22,0.0,0.24,0.12,0.07,0.0,0.0,0.0,0.0
beans,0.0,0.08,0.12,0.25,0.0,0.12,0.22,0.25,0.29,0.22,0.33,0.33,0.0,0.52,0.53,0.29,0.0,0.0,1.0,0.0
bear,0.0,0.17,0.18,0.0,0.14,0.12,0.22,0.39,0.5,0.33,0.44,0.67,0.5,0.68,0.65,0.5,1.0,1.0,1.0,1.0
because,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.03,0.08,0.11,0.11,0.22,0.07,0.08,0.06,0.36,0.0,0.0,0.0,0.0
bed,0.0,0.17,0.18,0.0,0.0,0.62,0.56,0.33,0.54,0.56,0.78,0.44,0.36,0.56,0.65,0.64,0.33,1.0,1.0,0.0
bedroom,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.08,0.12,0.22,0.33,0.33,0.07,0.28,0.35,0.36,0.0,1.0,0.0,0.0
bee,0.0,0.25,0.12,0.25,0.0,0.25,0.11,0.31,0.38,0.11,0.11,0.44,0.29,0.72,0.53,0.5,0.33,1.0,1.0,0.0
before,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0
behind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.22,0.0,0.08,0.18,0.21,0.0,1.0,0.0,0.0
belt,0.0,0.08,0.0,0.0,0.0,0.0,0.22,0.06,0.25,0.11,0.0,0.22,0.07,0.44,0.29,0.29,0.0,1.0,0.0,0.0
bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.11,0.22,0.0,0.08,0.12,0.07,0.0,0.0,0.0,0.0
beside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.22,0.0,0.04,0.24,0.07,0.0,0.0,0.0,0.0
better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.0,0.11,0.33,0.0,0.12,0.18,0.29,0.0,0.0,0.0,0.0
bib,0.0,0.17,0.06,0.0,0.0,0.12,0.22,0.11,0.17,0.11,0.0,0.33,0.07,0.16,0.24,0.07,0.0,0.0,0.0,0.0
bicycle,0.0,0.08,0.12,0.25,0.0,0.12,0.22,0.22,0.46,0.33,0.33,0.67,0.29,0.72,0.65,0.71,0.67,1.0,0.0,1.0
big,0.0,0.08,0.18,0.0,0.0,0.25,0.22,0.31,0.42,0.22,0.33,0.44,0.5,0.4,0.71,0.5,0.33,1.0,0.0,0.0
bird,0.5,0.58,0.47,0.25,0.29,0.5,0.44,0.39,0.71,0.56,0.56,0.67,0.5,0.68,0.65,0.71,0.67,1.0,1.0,0.0
bite,0.0,0.08,0.12,0.0,0.0,0.12,0.33,0.19,0.38,0.22,0.0,0.33,0.07,0.48,0.35,0.36,0.33,1.0,1.0,0.0
black,0.0,0.08,0.06,0.0,0.0,0.12,0.11,0.08,0.21,0.0,0.33,0.33,0.14,0.48,0.41,0.43,0.0,1.0,1.0,0.0
blanket,0.0,0.17,0.12,0.0,0.14,0.25,0.44,0.25,0.42,0.22,0.56,0.56,0.36,0.56,0.59,0.64,0.33,1.0,1.0,1.0
blew,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.08,0.0,0.11,0.22,0.07,0.04,0.12,0.21,0.0,0.0,0.0,0.0
blewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bllybttn,0.0,0.33,0.18,0.0,0.0,0.12,0.33,0.31,0.38,0.22,0.11,0.44,0.14,0.56,0.53,0.5,0.33,1.0,0.0,0.0
block,0.0,0.17,0.0,0.0,0.14,0.12,0.22,0.14,0.25,0.44,0.22,0.44,0.14,0.44,0.35,0.5,0.0,1.0,1.0,0.0
blockses,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blow,0.0,0.08,0.12,0.0,0.0,0.25,0.11,0.14,0.29,0.11,0.11,0.33,0.14,0.24,0.29,0.29,0.0,1.0,0.0,0.0
blowed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.04,0.12,0.07,0.0,0.0,0.0,0.0
blue,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.19,0.38,0.11,0.33,0.44,0.36,0.64,0.65,0.43,0.33,1.0,1.0,0.0
boat,0.0,0.08,0.06,0.0,0.14,0.25,0.22,0.19,0.42,0.33,0.11,0.56,0.29,0.56,0.41,0.57,0.67,1.0,1.0,0.0
book,0.0,0.67,0.53,0.5,0.29,0.38,0.44,0.5,0.71,0.56,0.67,0.78,0.71,0.8,0.94,0.79,0.33,1.0,1.0,1.0
boots,0.5,0.25,0.06,0.0,0.0,0.12,0.33,0.22,0.21,0.33,0.22,0.56,0.14,0.48,0.35,0.36,0.33,1.0,0.0,0.0
bottle,0.5,0.42,0.24,0.25,0.29,0.38,0.44,0.19,0.5,0.22,0.22,0.56,0.21,0.52,0.41,0.43,0.33,1.0,1.0,0.0
bought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11,0.07,0.08,0.12,0.21,0.0,0.0,0.0,0.0
bowl,0.0,0.08,0.0,0.0,0.14,0.12,0.11,0.11,0.25,0.22,0.22,0.33,0.0,0.32,0.29,0.21,0.33,1.0,1.0,0.0
box,0.0,0.25,0.18,0.0,0.0,0.12,0.44,0.22,0.38,0.44,0.44,0.44,0.29,0.52,0.53,0.64,0.0,1.0,1.0,1.0
boy,0.0,0.25,0.35,0.0,0.0,0.25,0.33,0.36,0.29,0.33,0.33,0.56,0.36,0.64,0.76,0.79,0.33,0.0,1.0,0.0
bread,0.0,0.08,0.12,0.25,0.0,0.38,0.44,0.22,0.46,0.33,0.22,0.44,0.21,0.52,0.59,0.57,0.33,1.0,1.0,0.0
break,0.0,0.08,0.06,0.0,0.0,0.0,0.33,0.11,0.29,0.22,0.22,0.22,0.07,0.44,0.41,0.36,0.33,1.0,0.0,0.0
breaked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.11,0.11,0.07,0.04,0.0,0.0,0.0,1.0,0.0,0.0
breakfst,0.0,0.0,0.0,0.0,0.0,0.12,0.22,0.08,0.29,0.22,0.33,0.44,0.14,0.2,0.41,0.36,0.0,1.0,1.0,1.0
bring,0.0,0.17,0.06,0.0,0.0,0.0,0.11,0.11,0.29,0.0,0.33,0.44,0.21,0.36,0.41,0.36,0.0,0.0,0.0,1.0
bringed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.04,0.06,0.07,0.0,0.0,0.0,0.0
broke,0.0,0.17,0.0,0.0,0.0,0.12,0.33,0.17,0.33,0.33,0.22,0.44,0.21,0.36,0.53,0.57,0.0,1.0,0.0,0.0
broked,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.12,0.0,0.0,0.0,0.0,0.12,0.18,0.14,0.33,0.0,0.0,0.0
broken,0.0,0.08,0.06,0.0,0.14,0.12,0.44,0.17,0.33,0.44,0.33,0.44,0.07,0.4,0.59,0.5,0.33,1.0,0.0,0.0
broom,0.0,0.08,0.06,0.0,0.0,0.0,0.33,0.17,0.25,0.11,0.22,0.33,0.07,0.32,0.29,0.36,0.33,1.0,0.0,0.0
brother,0.0,0.17,0.06,0.0,0.14,0.12,0.44,0.14,0.25,0.11,0.0,0.22,0.14,0.28,0.24,0.21,0.33,1.0,0.0,0.0
brown,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.03,0.08,0.0,0.33,0.33,0.07,0.44,0.29,0.29,0.0,0.0,1.0,0.0
brush,0.0,0.33,0.06,0.0,0.0,0.12,0.44,0.17,0.42,0.33,0.33,0.56,0.0,0.52,0.59,0.36,0.0,1.0,1.0,0.0
bubbles,0.5,0.25,0.24,0.25,0.14,0.5,0.44,0.5,0.67,0.56,0.78,0.67,0.79,0.8,0.82,0.79,0.67,1.0,1.0,1.0
bucket,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.06,0.12,0.11,0.11,0.33,0.0,0.16,0.18,0.07,0.0,0.0,0.0,0.0
bug,0.0,0.17,0.18,0.0,0.0,0.25,0.44,0.19,0.38,0.33,0.33,0.56,0.29,0.56,0.65,0.36,0.33,1.0,1.0,0.0
build,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.04,0.0,0.11,0.22,0.0,0.12,0.24,0.14,0.0,0.0,0.0,0.0
bump,0.0,0.0,0.06,0.0,0.0,0.0,0.33,0.03,0.12,0.0,0.0,0.33,0.0,0.2,0.29,0.14,0.0,1.0,0.0,0.0
bunny,0.5,0.25,0.18,0.25,0.0,0.12,0.33,0.47,0.62,0.44,0.44,0.67,0.64,0.68,0.82,0.64,0.33,1.0,1.0,0.0
bus,0.0,0.33,0.29,0.25,0.0,0.5,0.33,0.44,0.58,0.67,0.67,0.89,0.5,0.64,0.71,0.71,0.33,1.0,1.0,1.0
but,0.0,0.08,0.12,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.11,0.11,0.0,0.08,0.0,0.14,0.0,0.0,0.0,0.0
butter,0.0,0.0,0.06,0.0,0.0,0.12,0.11,0.11,0.25,0.22,0.22,0.33,0.14,0.48,0.35,0.29,0.0,1.0,0.0,0.0
buttocks,0.0,0.17,0.06,0.0,0.0,0.12,0.44,0.17,0.42,0.33,0.11,0.33,0.07,0.4,0.47,0.57,0.33,1.0,0.0,0.0
button,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.14,0.33,0.33,0.22,0.33,0.21,0.52,0.41,0.36,0.0,1.0,0.0,0.0
buttrfly,0.0,0.08,0.12,0.25,0.0,0.12,0.22,0.17,0.5,0.33,0.33,0.67,0.43,0.52,0.59,0.43,0.67,1.0,1.0,1.0
