child_ID,count,unique,top,freq
R01ED400_48.0,558.0,3.0,1.0,486.0
R01ED402_48.0,558.0,3.0,1.0,490.0
R01ED403_48.0,558.0,3.0,1.0,547.0
R01ED408_48.0,558.0,3.0,1.0,373.0
R01ED409_48.0,558.0,3.0,1.0,544.0
R01ED411_48.0,558.0,3.0,0.0,438.0
R01ED414_48.0,558.0,3.0,0.0,344.0
R01ED416_48.0,558.0,2.0,0.0,415.0
R01ED419_48.0,558.0,3.0,0.0,410.0
R01ED420_48.0,558.0,3.0,1.0,523.0
R01ED421_48.0,558.0,3.0,1.0,533.0
R01ED422_48.0,558.0,3.0,1.0,434.0
R01ED423_48.0,558.0,3.0,1.0,316.0
R01ED424_48.0,558.0,3.0,1.0,395.0
R01ED429_48.0,558.0,3.0,1.0,400.0
R01ED432_48.0,558.0,3.0,1.0,414.0
R01ED435_48.0,558.0,3.0,1.0,329.0
R01ED436_48.0,558.0,3.0,1.0,522.0
R01ED439_48.0,558.0,3.0,0.0,395.0
R01ED440_48.0,558.0,3.0,1.0,359.0
R01ED441_48.0,558.0,3.0,0.0,444.0
R01ED443_48.0,558.0,3.0,1.0,406.0
R01ED448_48.0,558.0,3.0,1.0,494.0
R01ED449_48.0,558.0,3.0,1.0,520.0
R01ED450_48.0,558.0,3.0,0.0,341.0
R01ED453_48.0,558.0,3.0,1.0,489.0
R01ED454_48.0,558.0,3.0,1.0,389.0
R01ED459_48.0,558.0,3.0,1.0,521.0
R2130Mo008_48.0,558.0,2.0,0.0,478.0
R2130Mo013_48.0,558.0,3.0,1.0,456.0
R2130Mo014_48.0,558.0,3.0,1.0,501.0
R2130Mo015_48.0,558.0,2.0,1.0,520.0
R2130Mo020_48.0,558.0,3.0,1.0,503.0
R2130Mo021_48.0,558.0,3.0,0.0,371.0
R2130Mo027_48.0,558.0,3.0,1.0,449.0
R2130Mo032_48.0,558.0,3.0,1.0,484.0
R2130Mo033_48.0,558.0,3.0,1.0,475.0
R2130Mo035_48.0,558.0,2.0,1.0,502.0
R2130Mo037_48.0,558.0,3.0,0.0,449.0
R2130Mo038_48.0,558.0,3.0,1.0,524.0
R2130Mo040_48.0,558.0,3.0,1.0,526.0
R2130Mo041_48.0,558.0,3.0,1.0,436.0
R2130Mo043_48.0,558.0,3.0,1.0,546.0
R2130Mo044_48.0,558.0,3.0,1.0,529.0
R2130Mo045_48.0,558.0,3.0,0.0,307.0
R2130Mo046_48.0,558.0,3.0,1.0,501.0
R2130Mo047_48.0,558.0,3.0,1.0,531.0
R2130Mo050_48.0,558.0,3.0,1.0,513.0
R2130Mo052_48.0,558.0,3.0,1.0,511.0
R2130Mo054_48.0,558.0,3.0,1.0,534.0
R2130Mo055_48.0,558.0,3.0,1.0,445.0
R2130Mo056_48.0,558.0,3.0,1.0,472.0
R2130Mo062_48.0,558.0,3.0,0.0,406.0
R2130Mo067_48.0,558.0,3.0,1.0,545.0
R2130Mo069_48.0,558.0,3.0,1.0,535.0
R2130Mo074_48.0,558.0,3.0,1.0,542.0
R2130Mo080_48.0,558.0,3.0,0.0,353.0
R2130Mo086_48.0,558.0,3.0,1.0,457.0
R2130Mo087_48.0,558.0,3.0,1.0,527.0
R2130Mo088_48.0,558.0,3.0,1.0,497.0
R2130Mo092_48.0,558.0,3.0,1.0,489.0
R2130Mo093_48.0,558.0,3.0,1.0,489.0
R2130Mo094_48.0,558.0,3.0,1.0,482.0
R2130Mo095_48.0,558.0,3.0,0.0,280.0
R2130Mo097_48.0,558.0,3.0,1.0,544.0
R2130Mo101_48.0,558.0,3.0,1.0,534.0
R2130Mo102_48.0,558.0,3.0,1.0,506.0
R2130Mo103_48.0,558.0,3.0,1.0,423.0
R2130Mo104_48.0,558.0,3.0,1.0,314.0
R2130Mo105_48.0,558.0,3.0,0.0,390.0
R2130Mo107_48.0,558.0,3.0,1.0,313.0
R2130Mo108_48.0,558.0,3.0,0.0,345.0
R2130Mo109_48.0,558.0,3.0,1.0,370.0
R2130Mo111_48.0,558.0,3.0,1.0,299.0
R2130Mo112_48.0,558.0,3.0,0.0,306.0
R2130Mo114_48.0,558.0,3.0,0.0,295.0
R2130Mo116_48.0,558.0,3.0,1.0,403.0
R2130Mo117_48.0,558.0,3.0,1.0,333.0
R2130Mo118_48.0,558.0,3.0,1.0,421.0
R2130Mo122_48.0,558.0,3.0,0.0,278.0
R2130Mo123_48.0,558.0,3.0,0.0,386.0
R2130Mo128_48.0,558.0,3.0,0.0,321.0
R2130Mo129_48.0,558.0,3.0,1.0,289.0
R2130Mo132_48.0,558.0,3.0,1.0,379.0
R2130Mo133_48.0,558.0,3.0,0.0,286.0
R2130Mo135_48.0,558.0,3.0,0.0,345.0
R2130Mo136_48.0,558.0,3.0,1.0,445.0
R2130Mo137_48.0,558.0,3.0,1.0,291.0
R2130Mo138_48.0,558.0,3.0,1.0,532.0
R2130Mo139_48.0,558.0,3.0,1.0,319.0
R2130Mo141_48.0,558.0,3.0,1.0,450.0
R2130Mo143_48.0,558.0,3.0,1.0,321.0
R2130Mo144_48.0,558.0,3.0,1.0,281.0
R2130Mo145_48.0,558.0,3.0,0.0,365.0
R01ED400_42.0,558.0,3.0,1.0,486.0
R01ED402_42.0,558.0,3.0,1.0,490.0
R01ED403_42.0,558.0,3.0,1.0,547.0
R01ED408_42.0,558.0,3.0,1.0,373.0
R01ED409_42.0,558.0,3.0,1.0,544.0
R01ED411_42.0,558.0,3.0,0.0,438.0
R01ED414_42.0,558.0,3.0,0.0,344.0
R01ED416_42.0,558.0,2.0,0.0,415.0
R01ED419_42.0,558.0,3.0,0.0,410.0
R01ED420_42.0,558.0,3.0,1.0,523.0
R01ED421_42.0,558.0,3.0,1.0,533.0
R01ED422_42.0,558.0,3.0,1.0,434.0
R01ED423_42.0,558.0,3.0,1.0,316.0
R01ED424_42.0,558.0,3.0,1.0,395.0
R01ED429_42.0,558.0,3.0,1.0,400.0
R01ED432_42.0,558.0,3.0,1.0,414.0
R01ED435_42.0,558.0,3.0,1.0,329.0
R01ED436_42.0,558.0,3.0,1.0,522.0
R01ED439_42.0,558.0,3.0,0.0,395.0
R01ED440_42.0,558.0,3.0,1.0,359.0
R01ED441_42.0,558.0,3.0,0.0,444.0
R01ED443_42.0,558.0,3.0,1.0,406.0
R01ED448_42.0,558.0,3.0,1.0,494.0
R01ED449_42.0,558.0,3.0,1.0,520.0
R01ED450_42.0,558.0,3.0,0.0,341.0
R01ED453_42.0,558.0,3.0,1.0,489.0
R01ED454_42.0,558.0,3.0,1.0,389.0
R01ED459_42.0,558.0,3.0,1.0,521.0
R2130Mo008_42.0,558.0,2.0,0.0,478.0
R2130Mo013_42.0,558.0,3.0,1.0,456.0
R2130Mo014_42.0,558.0,3.0,1.0,501.0
R2130Mo015_42.0,558.0,2.0,1.0,520.0
R2130Mo020_42.0,558.0,3.0,1.0,503.0
R2130Mo021_42.0,558.0,3.0,0.0,371.0
R2130Mo027_42.0,558.0,3.0,1.0,449.0
R2130Mo032_42.0,558.0,3.0,1.0,484.0
R2130Mo033_42.0,558.0,3.0,1.0,475.0
R2130Mo035_42.0,558.0,2.0,1.0,502.0
R2130Mo037_42.0,558.0,3.0,0.0,449.0
R2130Mo038_42.0,558.0,3.0,1.0,524.0
R2130Mo040_42.0,558.0,3.0,1.0,526.0
R2130Mo041_42.0,558.0,3.0,1.0,436.0
R2130Mo043_42.0,558.0,3.0,1.0,546.0
R2130Mo044_42.0,558.0,3.0,1.0,529.0
R2130Mo045_42.0,558.0,3.0,0.0,307.0
R2130Mo046_42.0,558.0,3.0,1.0,501.0
R2130Mo047_42.0,558.0,3.0,1.0,531.0
R2130Mo050_42.0,558.0,3.0,1.0,513.0
R2130Mo052_42.0,558.0,3.0,1.0,511.0
R2130Mo054_42.0,558.0,3.0,1.0,534.0
R2130Mo055_42.0,558.0,3.0,1.0,445.0
R2130Mo056_42.0,558.0,3.0,1.0,472.0
R2130Mo062_42.0,558.0,3.0,0.0,406.0
R2130Mo067_42.0,558.0,3.0,1.0,545.0
R2130Mo069_42.0,558.0,3.0,1.0,535.0
R2130Mo074_42.0,558.0,3.0,1.0,542.0
R2130Mo080_42.0,558.0,3.0,0.0,353.0
R2130Mo086_42.0,558.0,3.0,1.0,457.0
R2130Mo087_42.0,558.0,3.0,1.0,527.0
R2130Mo088_42.0,558.0,3.0,1.0,497.0
R2130Mo092_42.0,558.0,3.0,1.0,489.0
R2130Mo093_42.0,558.0,3.0,1.0,489.0
R2130Mo094_42.0,558.0,3.0,1.0,482.0
R2130Mo095_42.0,558.0,3.0,0.0,280.0
R2130Mo097_42.0,558.0,3.0,1.0,544.0
R2130Mo101_42.0,558.0,3.0,1.0,534.0
R2130Mo102_42.0,558.0,3.0,1.0,506.0
R2130Mo103_42.0,558.0,3.0,1.0,423.0
R2130Mo104_42.0,558.0,3.0,1.0,314.0
R2130Mo105_42.0,558.0,3.0,0.0,390.0
R2130Mo107_42.0,558.0,3.0,1.0,313.0
R2130Mo108_42.0,558.0,3.0,0.0,345.0
R2130Mo109_42.0,558.0,3.0,1.0,370.0
R2130Mo111_42.0,558.0,3.0,1.0,299.0
R2130Mo112_42.0,558.0,3.0,0.0,306.0
R2130Mo114_42.0,558.0,3.0,0.0,295.0
R2130Mo116_42.0,558.0,3.0,1.0,403.0
R2130Mo117_42.0,558.0,3.0,1.0,333.0
R2130Mo118_42.0,558.0,3.0,1.0,421.0
R2130Mo122_42.0,558.0,3.0,0.0,278.0
R2130Mo123_42.0,558.0,3.0,0.0,386.0
R2130Mo128_42.0,558.0,3.0,0.0,321.0
R2130Mo129_42.0,558.0,3.0,1.0,289.0
R2130Mo132_42.0,558.0,3.0,1.0,379.0
R2130Mo133_42.0,558.0,3.0,0.0,286.0
R2130Mo135_42.0,558.0,3.0,0.0,345.0
R2130Mo136_42.0,558.0,3.0,1.0,445.0
R2130Mo137_42.0,558.0,3.0,1.0,291.0
R2130Mo138_42.0,558.0,3.0,1.0,532.0
R2130Mo139_42.0,558.0,3.0,1.0,319.0
R2130Mo141_42.0,558.0,3.0,1.0,450.0
R2130Mo143_42.0,558.0,3.0,1.0,321.0
R2130Mo144_42.0,558.0,3.0,1.0,281.0
R2130Mo145_42.0,558.0,3.0,0.0,365.0
R01ED400_30.0,558.0,3.0,1.0,486.0
R01ED402_30.0,558.0,3.0,1.0,490.0
R01ED403_30.0,558.0,3.0,1.0,547.0
R01ED408_30.0,558.0,3.0,1.0,373.0
R01ED409_30.0,558.0,3.0,1.0,544.0
R01ED411_30.0,558.0,3.0,0.0,438.0
R01ED414_30.0,558.0,3.0,0.0,344.0
R01ED416_30.0,558.0,2.0,0.0,415.0
R01ED419_30.0,558.0,3.0,0.0,410.0
R01ED420_30.0,558.0,3.0,1.0,523.0
R01ED421_30.0,558.0,3.0,1.0,533.0
R01ED422_30.0,558.0,3.0,1.0,434.0
R01ED423_30.0,558.0,3.0,1.0,316.0
R01ED424_30.0,558.0,3.0,1.0,395.0
R01ED429_30.0,558.0,3.0,1.0,400.0
R01ED432_30.0,558.0,3.0,1.0,414.0
R01ED435_30.0,558.0,3.0,1.0,329.0
R01ED436_30.0,558.0,3.0,1.0,522.0
R01ED439_30.0,558.0,3.0,0.0,395.0
R01ED440_30.0,558.0,3.0,1.0,359.0
R01ED441_30.0,558.0,3.0,0.0,444.0
R01ED443_30.0,558.0,3.0,1.0,406.0
R01ED448_30.0,558.0,3.0,1.0,494.0
R01ED449_30.0,558.0,3.0,1.0,520.0
R01ED450_30.0,558.0,3.0,0.0,341.0
R01ED453_30.0,558.0,3.0,1.0,489.0
R01ED454_30.0,558.0,3.0,1.0,389.0
R01ED459_30.0,558.0,3.0,1.0,521.0
R2130Mo008_30.0,558.0,2.0,0.0,478.0
R2130Mo013_30.0,558.0,3.0,1.0,456.0
R2130Mo014_30.0,558.0,3.0,1.0,501.0
R2130Mo015_30.0,558.0,2.0,1.0,520.0
R2130Mo020_30.0,558.0,3.0,1.0,503.0
R2130Mo021_30.0,558.0,3.0,0.0,371.0
R2130Mo027_30.0,558.0,3.0,1.0,449.0
R2130Mo032_30.0,558.0,3.0,1.0,484.0
R2130Mo033_30.0,558.0,3.0,1.0,475.0
R2130Mo035_30.0,558.0,2.0,1.0,502.0
R2130Mo037_30.0,558.0,3.0,0.0,449.0
R2130Mo038_30.0,558.0,3.0,1.0,524.0
R2130Mo040_30.0,558.0,3.0,1.0,526.0
R2130Mo041_30.0,558.0,3.0,1.0,436.0
R2130Mo043_30.0,558.0,3.0,1.0,546.0
R2130Mo044_30.0,558.0,3.0,1.0,529.0
R2130Mo045_30.0,558.0,3.0,0.0,307.0
R2130Mo046_30.0,558.0,3.0,1.0,501.0
R2130Mo047_30.0,558.0,3.0,1.0,531.0
R2130Mo050_30.0,558.0,3.0,1.0,513.0
R2130Mo052_30.0,558.0,3.0,1.0,511.0
R2130Mo054_30.0,558.0,3.0,1.0,534.0
R2130Mo055_30.0,558.0,3.0,1.0,445.0
R2130Mo056_30.0,558.0,3.0,1.0,472.0
R2130Mo062_30.0,558.0,3.0,0.0,406.0
R2130Mo067_30.0,558.0,3.0,1.0,545.0
R2130Mo069_30.0,558.0,3.0,1.0,535.0
R2130Mo074_30.0,558.0,3.0,1.0,542.0
R2130Mo080_30.0,558.0,3.0,0.0,353.0
R2130Mo086_30.0,558.0,3.0,1.0,457.0
R2130Mo087_30.0,558.0,3.0,1.0,527.0
R2130Mo088_30.0,558.0,3.0,1.0,497.0
R2130Mo092_30.0,558.0,3.0,1.0,489.0
R2130Mo093_30.0,558.0,3.0,1.0,489.0
R2130Mo094_30.0,558.0,3.0,1.0,482.0
R2130Mo095_30.0,558.0,3.0,0.0,280.0
R2130Mo097_30.0,558.0,3.0,1.0,544.0
R2130Mo101_30.0,558.0,3.0,1.0,534.0
R2130Mo102_30.0,558.0,3.0,1.0,506.0
R2130Mo103_30.0,558.0,3.0,1.0,423.0
R2130Mo104_30.0,558.0,3.0,1.0,314.0
R2130Mo105_30.0,558.0,3.0,0.0,390.0
R2130Mo107_30.0,558.0,3.0,1.0,313.0
R2130Mo108_30.0,558.0,3.0,0.0,345.0
R2130Mo109_30.0,558.0,3.0,1.0,370.0
R2130Mo111_30.0,558.0,3.0,1.0,299.0
R2130Mo112_30.0,558.0,3.0,0.0,306.0
R2130Mo114_30.0,558.0,3.0,0.0,295.0
R2130Mo116_30.0,558.0,3.0,1.0,403.0
R2130Mo117_30.0,558.0,3.0,1.0,333.0
R2130Mo118_30.0,558.0,3.0,1.0,421.0
R2130Mo122_30.0,558.0,3.0,0.0,278.0
R2130Mo123_30.0,558.0,3.0,0.0,386.0
R2130Mo128_30.0,558.0,3.0,0.0,321.0
R2130Mo129_30.0,558.0,3.0,1.0,289.0
R2130Mo132_30.0,558.0,3.0,1.0,379.0
R2130Mo133_30.0,558.0,3.0,0.0,286.0
R2130Mo135_30.0,558.0,3.0,0.0,345.0
R2130Mo136_30.0,558.0,3.0,1.0,445.0
R2130Mo137_30.0,558.0,3.0,1.0,291.0
R2130Mo138_30.0,558.0,3.0,1.0,532.0
R2130Mo139_30.0,558.0,3.0,1.0,319.0
R2130Mo141_30.0,558.0,3.0,1.0,450.0
R2130Mo143_30.0,558.0,3.0,1.0,321.0
R2130Mo144_30.0,558.0,3.0,1.0,281.0
R2130Mo145_30.0,558.0,3.0,0.0,365.0
R01ED400_36.0,558.0,3.0,1.0,486.0
R01ED402_36.0,558.0,3.0,1.0,490.0
R01ED403_36.0,558.0,3.0,1.0,547.0
R01ED408_36.0,558.0,3.0,1.0,373.0
R01ED409_36.0,558.0,3.0,1.0,544.0
R01ED411_36.0,558.0,3.0,0.0,438.0
R01ED414_36.0,558.0,3.0,0.0,344.0
R01ED416_36.0,558.0,2.0,0.0,415.0
R01ED419_36.0,558.0,3.0,0.0,410.0
R01ED420_36.0,558.0,3.0,1.0,523.0
R01ED421_36.0,558.0,3.0,1.0,533.0
R01ED422_36.0,558.0,3.0,1.0,434.0
R01ED423_36.0,558.0,3.0,1.0,316.0
R01ED424_36.0,558.0,3.0,1.0,395.0
R01ED429_36.0,558.0,3.0,1.0,400.0
R01ED432_36.0,558.0,3.0,1.0,414.0
R01ED435_36.0,558.0,3.0,1.0,329.0
R01ED436_36.0,558.0,3.0,1.0,522.0
R01ED439_36.0,558.0,3.0,0.0,395.0
R01ED440_36.0,558.0,3.0,1.0,359.0
R01ED441_36.0,558.0,3.0,0.0,444.0
R01ED443_36.0,558.0,3.0,1.0,406.0
R01ED448_36.0,558.0,3.0,1.0,494.0
R01ED449_36.0,558.0,3.0,1.0,520.0
R01ED450_36.0,558.0,3.0,0.0,341.0
R01ED453_36.0,558.0,3.0,1.0,489.0
R01ED454_36.0,558.0,3.0,1.0,389.0
R01ED459_36.0,558.0,3.0,1.0,521.0
R2130Mo008_36.0,558.0,2.0,0.0,478.0
R2130Mo013_36.0,558.0,3.0,1.0,456.0
R2130Mo014_36.0,558.0,3.0,1.0,501.0
R2130Mo015_36.0,558.0,2.0,1.0,520.0
R2130Mo020_36.0,558.0,3.0,1.0,503.0
R2130Mo021_36.0,558.0,3.0,0.0,371.0
R2130Mo027_36.0,558.0,3.0,1.0,449.0
R2130Mo032_36.0,558.0,3.0,1.0,484.0
R2130Mo033_36.0,558.0,3.0,1.0,475.0
R2130Mo035_36.0,558.0,2.0,1.0,502.0
R2130Mo037_36.0,558.0,3.0,0.0,449.0
R2130Mo038_36.0,558.0,3.0,1.0,524.0
R2130Mo040_36.0,558.0,3.0,1.0,526.0
R2130Mo041_36.0,558.0,3.0,1.0,436.0
R2130Mo043_36.0,558.0,3.0,1.0,546.0
R2130Mo044_36.0,558.0,3.0,1.0,529.0
R2130Mo045_36.0,558.0,3.0,0.0,307.0
